Total_Radiation(75-3000Hz),Location_Name,Coordinates
0.599,COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
0.953,COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
0.7,COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
0.604,COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
0.501,COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
0.961,COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
1.785,COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
1.096,COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
1.116,COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
0.989,COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
1.251,COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
3.424,COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
1.846,COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
0.582,COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
0.288,COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.756,COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.273,COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.276,COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.302,COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.328,COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.279,COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.66,COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
1.21,COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
1.329,COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
1.212,COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
0.907,COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
1.084,COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
0.486,COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
0.481,COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
0.425,COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
0.425,COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
0.405,COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
1.21,COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
0.747,COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
0.573,COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
0.649,COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
2.607,COSMOTE_PANEPISTIMIOY_61,"37.98099517859488, 23.732168503285322"
0.399,COSMOTE_PANEPISTIMIOY_62,"37.98099517859488, 23.732168503285322"
0.292,COSMOTE_PANEPISTIMIOY_63,"37.98099517859488, 23.732168503285322"
0.556,COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
0.666,COSMOTE_AG_DIMITRIOS,"37.94234975084419, 23.731039236162207"
