"75-3000
TOTAL",Location,"Coordinates (Latitude,Longtitude)"
0.599,A01.13.05.2009-COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
0.953,A01.13.05.2009-COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
0.7,A01.13.05.2009-COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
0.604,A01.13.05.2009-COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
0.501,A01.13.05.2009-COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
0.961,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
1.785,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
1.096,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
1.116,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
0.989,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
1.251,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
3.424,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
1.846,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
0.582,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
0.288,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.756,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.273,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.276,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.302,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.328,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.279,A03.26.08.2009-COSMOTE_OTE-AGIAS-PARASKEYHS,"38.0131454865735,23.8224366897421"
0.66,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
1.21,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
1.329,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
1.212,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
0.907,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
1.084,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
0.486,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
0.481,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
0.425,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
0.425,A04.24.09.2009-COSMOTE_GERAKAS,"38.00906968828524, 23.877607320686522"
0.405,A02.20.01.2010-COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
1.21,A02.20.01.2010-COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
0.747,A02.20.01.2010-COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
0.573,A02.20.01.2010-COSMOTE_PALAIO-FALIRO,"37.93036905745766, 23.702724376447186"
