No.,Place  of measurement,Place  of measurement,Type of place,Type of place,Description,75-87,"87-109
FM","109-300 VHF-TV, CB, AirCom",300 - 450 TETRA,"450-860
UHF-TV, LTE-800","860-1000
GSM-900","1000 - 1700 Navigation, GPS, DAB","1700-2200 GSM-1800, UMTS","2200-3000 WiFi, LTE-2600","75-3000
TOTAL",Location,"Coordinates (Latitude,Longtitude)"
1,Oikeia,Sxoleio Street,O,U,,0.05391,0.41436,0.07307,0.04342,0.12284,0.02867,0.06713,0.36244,0.15907,0.599,A01.13.05.2009-COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
2,Oikeia,Plateia,O,U,,0.07585,0.77392,0.0735,0.06595,0.4614,0.04893,0.06699,0.21826,0.16035,0.953,A01.13.05.2009-COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
3,Oikeia,,I,U,,0.0516,0.54717,0.07941,0.04958,0.14788,0.33947,0.067,0.10778,0.15997,0.7,A01.13.05.2009-COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
4,Oikeia,,I,U,,0.06083,0.49999,0.08349,0.04556,0.11938,0.21073,0.06736,0.11448,0.1606,0.604,A01.13.05.2009-COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
5,Oikeia,,O,U,,0.04288,0.30292,0.08479,0.06377,0.18619,0.16056,0.06705,0.23643,0.16003,0.501,A01.13.05.2009-COSMOTE_AGIOS_DIMITRIOS,"37.9413358484186,23.731624030661"
6,,Street,O,SU,,0.09014,0.38012,0.07484,0.36162,0.05772,0.02836,0.06386,0.77324,0.16694,0.961,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
7,,Street,O,SU,,0.0454,0.12876,0.07536,0.79673,0.05656,0.07358,0.06335,1.5747,0.18359,1.785,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
8,,Street,O,SU,,0.04212,0.07662,0.07557,0.29522,0.05626,0.06172,0.06473,0.99799,0.30441,1.096,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
9,,Street,O,SU,,0.03693,0.06558,0.07611,0.34407,0.05508,0.03007,0.06347,1.0394,0.16828,1.116,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
10,,Street,O,SU,,0.03971,0.08668,0.07484,0.07338,0.05607,0.02805,0.0638,0.96206,0.15696,0.989,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
11,,Street,O,SU,,0.11474,0.51011,0.07535,0.08239,0.0574,0.0285,0.06387,1.106,0.21837,1.251,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
12,,Street,O,SU,,0.70246,3.3208,0.10497,0.06261,0.07803,0.03929,0.08885,0.18157,0.36896,3.424,A02.27.05.2009-COSMOTE_ORXOMENOS,"38.4440062462869,22.8798026656347"
